Location,Habitat,Order,Family,UniqueGroup,Length_mm,Width_mm,TrophicStatus,PollutionScore
HoosicRiver,Leaf,Diptera,Chironomidae,10,4,0.7,Collector,7
HoosicRiver,Rock,Diptera,Chironomidae,10,5.9,0.3,Collector,7
HoosicRiver,Rock,Diptera,Chironomidae,10,5,0.25,Collector,7
HoosicRiver,Rock,Diptera,Chironomidae,10,4,0.25,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,13.5,3,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,3,0.3,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,8.5,1,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,7.5,0.8,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,6.4,0.5,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,7,0.7,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,7.6,0.8,Collector,7
BirchRoad,Leaf,Diptera,Perisoma,12,4,1,Collector,
HoosicRiver,Rock,Diptera,,15,4.5,1,Collector,5
BirchRoad,Leaf,Diptera,,15,31,4.5,Collector,5
BirchRoad,Leaf,Diptera,,15,15,3,Collector,5
BirchRoad,Leaf,Diptera,,15,17,2.5,Collector,5
BirchRoad,Leaf,Diptera,,15,20,3.5,Collector,5
BirchRoad,Leaf,Diptera,,15,19,3.5,Collector,5
BirchRoad,Leaf,Diptera,,15,10,3.5,Collector,5
BirchRoad,Leaf,Diptera,,15,20,4,Collector,5
BirchRoad,Leaf,Diptera,,15,16,2,Collector,5
BirchRoad,Leaf,Diptera,,15,12,3,Collector,5
BirchRoad,Leaf,Diptera,,15,11,2,Collector,5
BirchRoad,Leaf,Diptera,,15,10,2,Collector,5
BirchRoad,Leaf,Diptera,,15,12,3,Collector,5
BirchRoad,Leaf,Diptera,,15,12,3,Collector,5
BirchRoad,Leaf,Diptera,,15,20,4,Collector,5
BirchRoad,Leaf,Diptera,,15,15,2,Collector,5
BirchRoad,Leaf,Diptera,,15,15,2,Collector,5
BirchRoad,Leaf,Diptera,,15,15,2,Collector,5
BirchRoad,Leaf,Diptera,,15,11,2,Collector,5
BirchRoad,Leaf,Diptera,,15,12,2,Collector,5
BirchRoad,Leaf,Diptera,,15,9,1,Collector,5
BirchRoad,Leaf,Diptera,,15,15.2,3,Collector,5
BirchRoad,Rock,Diptera,,15,8,1,Collector,5
BirchRoad,Rock,Diptera,,15,6,1,Collector,5
BirchRoad,Rock,Diptera,,15,6,1,Collector,5
BirchRoad,Rock,Diptera,,15,5,1,Collector,5
BirchRoad,Rock,Diptera,,15,7,1,Collector,5
BirchRoad,Leaf,Diptera,,15,12,2,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Baetidae,17,12,3,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Baetidae,17,6,1.5,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Baetidae,17,4,1,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Baetidae,17,6,2,Collector,5
BirchForest,Leaf,Ephemeroptera,Caenidae,18,4,1.5,Collector,5
HoosicRiver,Rock,Ephemeroptera,Caenidae,18,9.5,3.5,Collector,5
HoosicRiver,Rock,Ephemeroptera,Caenidae,18,5,1.5,Collector,5
BirchRoad,Leaf,Ephemeroptera,Caenidae,18,8,2.5,Collector,5
