town	birth.year	death.yearst	sex	age.at.death
Williamstown	102	185	F	83
Williamstown	1745	1771	F	26
Williamstown	1744	1772	M	28
Williamstown	1776	1781	F	5
Williamstown	1740	1781	F	41
Williamstown	1745	1782	M	37
Williamstown	1768	1783	M	15
Williamstown	1716	1785	F	69
Williamstown	1710	1785	M	75
Williamstown	1710	1786	F	76
Williamstown	1787	1787	F	0
Williamstown	1734	1788	M	54
Williamstown	1726	1789	F	63
Williamstown	1751	1790	F	39
Williamstown	1790	1793	F	3
Williamstown	1765	1793	F	28
Williamstown	1775	1794	M	19
Williamstown	1793	1794	F	1
Williamstown	1715	1796	M	81
Williamstown	1768	1796	M	28
Williamstown	1775	1796	M	21
Williamstown	1796	1796	F	0
Williamstown	1795	1797	M	2
Williamstown	1723	1798	M	75
North Adams	1770	1798	F	28
Williamstown	1796	1798	M	2
Williamstown	1731	1798	F	67
Williamstown	1728	1798	F	70
North Adams	1798	1800	M	2
Williamstown	1784	1800	F	16
Williamstown	1727	1801	M	74
Williamstown	1761	1802	M	41
Williamstown	1799	1802	M	3
Williamstown	1798	1802	F	4
Williamstown	1788	1802	F	14
Williamstown	1752	1802	F	50
Williamstown	1745	1802	F	57
Williamstown	1784	1803	M	19
Williamstown	1744	1803	M	59
Williamstown	1804	1804	M	0
Williamstown	1772	1805	F	33
Williamstown	1746	1806	M	60
Williamstown	1781	1806	F	25
Williamstown	1768	1806	F	38
Williamstown	1756	1806	F	50
Williamstown	1753	1806	F	53
Williamstown	1726	1807	M	81
Williamstown	1746	1807	F	61
Williamstown	1748	1807	M	59
Williamstown	1752	1807	F	55
Williamstown	1791	1807	F	16
Williamstown	1794	1807	M	13
Williamstown	1807	1807	M	0
Williamstown	1807	1807	M	0
Williamstown	1792	1807	M	15
Williamstown	1757	1807	F	50
Williamstown	1749	1807	M	58
Williamstown	1746	1807	F	61
Williamstown	1766	1808	F	42
Williamstown	1750	1808	M	58
Williamstown	1753	1809	F	42
Williamstown	1786	1809	M	23
Williamstown	1807	1809	M	2
Williamstown	1803	1809	M	6
Williamstown	1774	1809	M	35
Williamstown	1759	1809	M	50
Williamstown	1786	1810	M	24
Williamstown	1810	1810	M	0
Williamstown	1788	1810	M	22
Williamstown	1785	1810	M	25
Williamstown	1782	1810	F	28
Williamstown	1729	1810	M	81
Williamstown	1778	1811	M	33
Williamstown	1800	1811	M	11
Williamstown	1801	1811	M	10
Williamstown	1785	1811	F	26
Williamstown	1770	1813	F	43
Williamstown	1746	1813	F	67
Williamstown	1734	1813	M	79
Williamstown	1749	1814	M	65
Williamstown	1788	1814	F	26
Williamstown	1740	1814	F	74
Williamstown	1733	1814	F	81
Williamstown	1729	1814	M	85
North Adams	1790	1815	F	25
Williamstown	1798	1815	F	17
Williamstown	1814	1815	F	1
Williamstown	1815	1815	M	0
North Adams	1805	1815		10
Williamstown	1765	1815	M	50
Williamstown	1815	1816	M	1
Williamstown	1810	1816	M	6
Williamstown	1793	1816	F	23
Williamstown	1752	1816	M	64
Williamstown	1781	1817	M	36
Williamstown	1800	1817	M	17
Williamstown	1784	1817	F	33
North Adams	1770	1817	F	47
Williamstown	1744	1817	M	73
Williamstown	1794	1818	M	24
Williamstown	1789	1818	F	29
Williamstown	1759	1818	F	59
Williamstown	1755	1818	M	63
Williamstown	1728	1818	M	90
Williamstown	1819	1819	F	0
Williamstown	1817	1819	F	2
Williamstown	1806	1819	F	13
Williamstown	1739	1819	M	80
Williamstown	1759	1820	F	61
Williamstown	1818	1820	F	2
Williamstown	1754	1821	F	67
Williamstown	1758	1821	M	63
Williamstown	1779	1821	F	42
North Adams	1791	1821	F	30
Williamstown	1796	1821	M	25
Williamstown	1797	1821	M	24
Williamstown	1762	1821	F	59
North Adams	1753	1822	M	69
Williamstown	1803	1822	F	19
North Adams	1822	1822	M	0
Williamstown	1801	1822	F	21
Williamstown	1800	1822	F	22
Williamstown	1742	1822	F	80
Williamstown	1772	1823	F	51
Williamstown	1778	1823	M	45
Williamstown	1804	1823	F	19
Williamstown	1803	1823	F	20
Williamstown	1787	1823	F	36
Williamstown	1781	1823	F	42
Williamstown	1815	1824	F	9
Williamstown	1787	1824	F	37
Williamstown	1823	1825	F	2
Williamstown	1821	1825	M	4
Williamstown	1819	1825	F	6
Williamstown	1807	1825	M	18
Williamstown	1749	1825	F	76
Williamstown	1761	1826	F	65
Williamstown	1797	1826	M	29
North Adams	1785	1827	M	42
Williamstown	1807	1827	F	20
Williamstown	1805	1828	F	23
Williamstown	1762	1828	M	66
Williamstown	1744	1828	F	84
Williamstown	1826	1829	F	3
Williamstown	1766	1829	M	63
Williamstown	1738	1829	M	91
Williamstown	1736	1829	M	93
Williamstown	1799	1830	M	31
Williamstown	1818	1830	M	12
Williamstown	1799	1830	M	31
