Day,Site,FilterInitialMass_mg,FilterDriedMass_mg,Water_mL,SuspendedParticulate_mg_L,SuspendedParticulateCNRatio,LeafParticulate_mg_gLeaf,DissolvedOxygen_mgL,pH,LeafCO2Flux_ugCO2_gleaf_min,LeafCO2Flux_R2,LitterFlux_g,Ca_mg_L,Mg_mg_L,Na_mg_L,K_mg_L,NH4_mg_L,Cl_mg_L,NO3_mg_L,SO4_mg_L
Thurs,Forest,35.7,35.99,200,1.45,15.4,1.64,9.75,6.83,1.96,0.96,4.90,6.75,1.33,0.57,0.14,0.13,0.78,0.59,6.16
Tues,Forest,35.17,36.33,1000,1.16,,1.20,9.66,6.85,1.10,0.99,10.00,,,,,,,,
Wed,Forest,37.07,37.1,1000,0.03,,0.90,10.19,7.00,1.42,0.96,4.95,,,,,,,,
Thurs,Hoosic,36.05,39.83,443,8.532731377,8.8,11.99,11.00,8.55,1.98,0.95,5.07,29.06,3.96,3.08,0.54,0.06,10.5861,0.3861,5.679
Tues,Hoosic,34.88,36.94,700,2.942857143,,6.32,10.62,8.30,2.05,0.97,9.73,,,,,,,,
Wed,Hoosic,36.62,44.27,500,15.3,,4.87,10.45,8.50,3.42,0.99,6.10,,,,,,,,
Thurs,Road,35.41,37.9,900,2.766666667,11.5,8.47,9.89,7.26,2.53,0.99,5.50,12.14,1.34,2.5,0.25,0,3.59,0.22,5.82
Tues,Road,35.74,42.57,1000,6.83,,1.93,10.38,7.52,2.23,0.96,10.55,,,,,,,,
Wed,Road,36.45,37.42,957,1.013584117,,5.82,10.30,7.20,1.71,0.93,5.00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
