Year,Group,Site,BareSoil,LeafLitter_mm,EarthwormCasings,SoilTemp_C,SoilMoisture_Percent,Barberry_Stems,SugarMaple_Stems,TotalEarthworms_Count,JumpingWorms_Count,NonJumping_Count,TotalEarthwormMass_g,JumpingWormMass_g,NonJumpingMass_g
2022,,Woodlot_Low,FALSE,,TRUE,18.7,25,,,0,0,0,0,,
2022,,Woodlot_Low,TRUE,,TRUE,23.3,25.1,,,7,0,7,0.0395,,
2022,,Woodlot_Low,FALSE,,TRUE,21.9,21.8,,,2,2,0,0.007,,
2022,,Woodlot_Low,FALSE,,TRUE,22.8,24.9,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,TRUE,22.6,25.5,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,TRUE,19.3,27,,,1,0,1,0.016,,
2022,,Woodlot_Low,FALSE,,TRUE,19.3,27,,,0,0,0,0,,
2022,,Woodlot_Low,,,TRUE,22.4,29.3,,,6,0,0,0.0733,,
2022,,Woodlot_Low,FALSE,,FALSE,22.1,24.2,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,FALSE,22.1,24.2,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,TRUE,18.9,26.8,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,TRUE,23,27.1,,,0,0,0,0,,
2022,,Woodlot_Low,TRUE,,FALSE,21.7,12,,,2,1,1,0.0133,,
2022,,Woodlot_Low,FALSE,,TRUE,22.1,24.2,,,3,0,3,0.0547,,
2022,,Woodlot_Low,TRUE,,TRUE,17.2,13.8,,,4,0,4,0.0498,,
2022,,Woodlot_Low,FALSE,,FALSE,21.7,19.3,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,FALSE,21.7,19.3,,,4,4,0,0.0785,,
2022,,Woodlot_Low,TRUE,,FALSE,17.5,12.7,,,5,3,2,0.0263,,
2022,,Woodlot_Low,TRUE,,TRUE,22.1,16.2,,,35,8,27,0.5526,,
2022,,Woodlot_Low,FALSE,,TRUE,19.7,13.2,,,2,0,2,0.056,,
2022,,Woodlot_Low,TRUE,,TRUE,17.7,11.4,,,9,6,3,0.0996,,
2022,,Woodlot_Low,FALSE,,FALSE,22.1,26.8,,,4,1,3,0.0753,,
2022,,Woodlot_Low,TRUE,,FALSE,21.5,13.3,,,,,,0.4189,,
2022,,Woodlot_Low,FALSE,,TRUE,17.7,24.3,,,3,3,0,0.0868,,
2022,,Woodlot_Low,FALSE,,TRUE,22.1,26.8,,,13,5,7,0.1298,,
2022,,Woodlot_Low,TRUE,,TRUE,22.6,27.9,,,16,0,16,0.4921,,
2022,,Woodlot_Low,TRUE,,TRUE,18.8,29.4,,,2,0,2,0.1029,,
2022,,Woodlot_Low,TRUE,,TRUE,21.7,27.9,,,15,0,15,1.2516,,
2022,,Woodlot_Low,TRUE,,TRUE,17.7,24.3,,,10,8,2,0.1189,,
2022,,Woodlot_Low,TRUE,,TRUE,17.3,23,,,12,7,5,0.2433,,
2022,,Woodlot_Low,FALSE,,FALSE,17.7,25.8,,,0,0,0,0,,
2022,,Woodlot_Low,TRUE,,FALSE,22,32.6,,,0,0,0,0,,
2022,,Woodlot_Low,TRUE,,FALSE,21.9,31.2,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,TRUE,18.6,27.9,,,0,0,0,0,,
2022,,Woodlot_Low,TRUE,,TRUE,19.6,31,,,4,0,4,0.0019,,
2022,,Woodlot_Low,TRUE,,TRUE,22,32.6,,,0,0,0,0,,
2022,,Woodlot_Low,TRUE,,TRUE,23.3,30.8,,,4,2,2,0.0823,,
2022,,Woodlot_Low,FALSE,,FALSE,23,24.2,,,2,0,2,0.0264,,
2022,,Woodlot_Low,FALSE,,FALSE,22.4,29.6,,,1,0,1,0.0378,,
2022,,Woodlot_Low,TRUE,,FALSE,22.4,29.6,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,FALSE,23.3,21.4,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,FALSE,22.1,22.7,,,6,0,6,0.0504,,
2022,,Woodlot_Low,FALSE,,FALSE,22.1,22.7,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,FALSE,22.1,22.7,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,FALSE,22.1,22.7,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,TRUE,22.1,22.7,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,FALSE,23.7,28.5,,,4,0,4,0.0022,,
2022,,Woodlot_Low,FALSE,,TRUE,19.1,32,,,5,0,5,0.002,,
2022,,Woodlot_Low,FALSE,,TRUE,18.8,13.4,,,0,0,0,0,,
2022,,Woodlot_Low,TRUE,,TRUE,21.7,14.8,,,0,0,0,0,,
2022,,Woodlot_Low,FALSE,,TRUE,17.9,29.1,,,0,0,0,0,,
2026,AldenBryceChris,Woodlot_High,FALSE,30,FALSE,23,14.9,54,3,9,0,9,0.12,0,0.12
2026,AldenBryceChris,Sugarbush,FALSE,33,TRUE,23.9,22.8,0,5,2,0,2,0.1001,0,0.1001
2026,AldenBryceChris,Sugarbush,FALSE,31,TRUE,23.5,19.6,0,4,5,2,3,0.2394,0.1884,0.051
2026,SiennaMateoConnor,Woodlot_High,FALSE,20,TRUE,23.3,23.4,3,3,0,0,0,0,0,0
2026,SiennaMateoConnor,Sugarbush,FALSE,20,TRUE,24.7,27.4,0,8,8,8,0,0.2,0.2,0
2026,AmaNatashalarissa,Woodlot_High,FALSE,4,TRUE,23,26.8,26,1,0,0,0,0,0,0
2026,AmaNatashalarissa,Sugarbush,FALSE,1.3,TRUE,23.7,35.9,0,2,0,0,0,0,0,0
2026,GreyOwen,Woodlot_High,FALSE,8,TRUE,23.3,20.2,0,3,0,0,0,0,0,0
2026,GreyOwen,Sugarbush,FALSE,10,TRUE,24.7,22.7,0,5,3,1,2,0.5225,0.5175,0.005
2026,GreyOwen,Sugarbush,FALSE,12,TRUE,24.7,22.7,0,3,6,0,6,0.001,0,0.001
2026,EmeryCordelia,Woodlot_High,FALSE,30,FALSE,23.3,23.8,91,,0,0,0,0,0,0
2026,EmeryCordelia,Sugarbush,FALSE,15,TRUE,23.5,24.7,0,2,0,0,0,0,0,0
2026,EmeryCordelia,Sugarbush,FALSE,15,TRUE,23.5,24.7,0,2,21,0,21,0.001,0,0.001
2026,EllieReeceGautham,Woodlot_Low,FALSE,11,FALSE,20.3,19.7,20,11,18,0,18,0.043,0,0.043
2026,EllieReeceGautham,Sugarbush,TRUE,4,TRUE,19.7,38.9,0,4,0,0,0,0,0,0
2026,HannahHarryClara,Woodlot_Low,TRUE,9,TRUE,20.3,21.6,36,11,2,0,2,0.95,0,0.95
2026,HannahHarryClara,Sugarbush,FALSE,16,TRUE,20.7,18,0,2,1,1,0,1.78,0.178,0
2026,GingerCharlotteRemyCatherine,Woodlot_Low,FALSE,4,TRUE,20.7,20.4,33,5,1,1,0,0.37,0.37,0
2026,GingerCharlotteRemyCatherine,Sugarbush,FALSE,15,TRUE,20.5,30.2,0,3,2,2,0,0.8035,0.8035,0
2026,AkshitaSophiaRendell,Woodlot_Low,FALSE,10,TRUE,20.3,18.9,21,3,19,0,19,0.0068,0,0.0068
2026,AkshitaSophiaRendell,Sugarbush,TRUE,20,TRUE,19.7,30.2,0,2,4,0,4,0.0025,0,0.0025
2026,HenryRowanMatt,Woodlot_Low,FALSE,12,TRUE,20.5,34.4,0,0,1,0,1,0.075,0,0.075
2026,HenryRowanMatt,Sugarbush,FALSE,27,TRUE,20.1,30.8,0,8,2,0,2,0.0008,0,0.0008
2026,MylesGretaJason,Woodlot_Low,FALSE,7.5,TRUE,20.3,22,44,4,82,0,82,0.0871,0,0.0871
2026,MylesGretaJason,Sugarbush,FALSE,17.5,TRUE,20.1,28.2,0,6,2,0,2,0.0012,0,0.0012
